sample,species,country,state,pair,chemotype,reprod_mode,is_outgroup,region
ASUL031844_P_hypoleucinum_USA_CA,hypoleucinum,USA,CA,preperforatum_hypoleucinum,stictic,asexual,FALSE,USA_CA
ASUL031845_P_hypoleucinum_USA_CA,hypoleucinum,USA,CA,preperforatum_hypoleucinum,stictic,asexual,FALSE,USA_CA
ASUL031952_P_hypoleucinum_USA_CA,hypoleucinum,USA,CA,preperforatum_hypoleucinum,stictic,asexual,FALSE,USA_CA
ASUL031955_P_hypoleucinum_USA_CA,hypoleucinum,USA,CA,preperforatum_hypoleucinum,stictic,asexual,FALSE,USA_CA
ASUL031959_P_hypoleucinum_USA_CA,hypoleucinum,USA,CA,preperforatum_hypoleucinum,stictic,asexual,FALSE,USA_CA
ASUL031961_P_hypoleucinum_USA_CA,hypoleucinum,USA,CA,preperforatum_hypoleucinum,stictic,asexual,FALSE,USA_CA
ASUL031962_P_hypoleucinum_USA_CA,hypoleucinum,USA,CA,preperforatum_hypoleucinum,stictic,asexual,FALSE,USA_CA
ASUL031965_P_hypotropum_Mexico,hypotropum,Mexico,,perforatum_hypotropum,norstictic,asexual,FALSE,Mexico
ASUL031967_P_hypotropum_Mexico,hypotropum,Mexico,,perforatum_hypotropum,norstictic,asexual,FALSE,Mexico
ASUL031971_P_hypotropum_Mexico,hypotropum,Mexico,,perforatum_hypotropum,norstictic,asexual,FALSE,Mexico
ASUL031975_P_hypotropum_Mexico,hypotropum,Mexico,,perforatum_hypotropum,norstictic,asexual,FALSE,Mexico
ASUL031976_P_hypoleucinum_Mexico,hypoleucinum,Mexico,,preperforatum_hypoleucinum,stictic,asexual,FALSE,Mexico
Egan_15207_P_hypoleucinum_Mexico,hypoleucinum,Mexico,,preperforatum_hypoleucinum,stictic,asexual,FALSE,Mexico
Egan_15234_P_hypoleucinum_Mexico,hypoleucinum,Mexico,,preperforatum_hypoleucinum,stictic,asexual,FALSE,Mexico
Egan_15244_P_hypotropum_Mexico,hypotropum,Mexico,,perforatum_hypotropum,norstictic,asexual,FALSE,Mexico
Egan_15345_P_hypotropum_Mexico,hypotropum,Mexico,,perforatum_hypotropum,norstictic,asexual,FALSE,Mexico
MAF-20025_P_hypoleucinum_Spain,hypoleucinum,Spain,,preperforatum_hypoleucinum,stictic,asexual,FALSE,Spain
MAF-25a_P_hypoleucinum_Morocco,hypoleucinum,Morocco,,preperforatum_hypoleucinum,stictic,asexual,FALSE,Morocco
MAF-27h_P_hypoleucinum_Morocco,hypoleucinum,Morocco,,preperforatum_hypoleucinum,stictic,asexual,FALSE,Morocco
MAF-28h_P_hypoleucinum_Morocco,hypoleucinum,Morocco,,preperforatum_hypoleucinum,stictic,asexual,FALSE,Morocco
MAF-6117v_P_hypoleucinum_Spain,hypoleucinum,Spain,,preperforatum_hypoleucinum,stictic,asexual,FALSE,Spain
MAF-Lich11403_P_hypoleucinum_Spain,hypoleucinum,Spain,,preperforatum_hypoleucinum,stictic,asexual,FALSE,Spain
MAF-Lich13935_P_hypoleucinum_Spain,hypoleucinum,Spain,,preperforatum_hypoleucinum,stictic,asexual,FALSE,Spain
MAF-Lich16141_P_hypoleucinum_Morocco,hypoleucinum,Morocco,,preperforatum_hypoleucinum,stictic,asexual,FALSE,Morocco
MAF-Lich16142_P_hypoleucinum_Morocco,hypoleucinum,Morocco,,preperforatum_hypoleucinum,stictic,asexual,FALSE,Morocco
MAF-Lich16318_P_hypoleucinum_Spain,hypoleucinum,Spain,,preperforatum_hypoleucinum,stictic,asexual,FALSE,Spain
MAF-Lich18443_P_hypotropum_Spain,hypotropum,Spain,,perforatum_hypotropum,norstictic,asexual,FALSE,Spain
MAF-Lich18665_P_hypotropum_Spain,hypotropum,Spain,,perforatum_hypotropum,norstictic,asexual,FALSE,Spain
MAF-Lich18778_P_hypoleucinum_Spain,hypoleucinum,Spain,,preperforatum_hypoleucinum,stictic,asexual,FALSE,Spain
MAF-Lich21639_P_hypoleucinum_Portugal,hypoleucinum,Portugal,,preperforatum_hypoleucinum,stictic,asexual,FALSE,Portugal
Nelsen_7555_P_subrigidum_USA_AL,subrigidum,USA,AL,subrigidum_louisianae,alectoronic,sexual,FALSE,USA_AL
OMA_602-1_P_perforatum_USA_OK,perforatum,USA,OK,perforatum_hypotropum,norstictic,sexual,FALSE,USA_OK
OMA_602-2_P_perforatum_USA_OK,perforatum,USA,OK,perforatum_hypotropum,norstictic,sexual,FALSE,USA_OK
OMA_602-3_P_perforatum_USA_OK,perforatum,USA,OK,perforatum_hypotropum,norstictic,sexual,FALSE,USA_OK
OMA_603-1_P_hypotropum_USA_OK,hypotropum,USA,OK,perforatum_hypotropum,norstictic,asexual,FALSE,USA_OK
OMA_603-2_P_hypotropum_USA_OK,hypotropum,USA,OK,perforatum_hypotropum,norstictic,asexual,FALSE,USA_OK
OMA_604-1_P_hypoleucinum_USA_OK,hypoleucinum,USA,OK,preperforatum_hypoleucinum,stictic,asexual,FALSE,USA_OK
OMA_604-2_P_hypoleucinum_USA_OK,hypoleucinum,USA,OK,preperforatum_hypoleucinum,stictic,asexual,FALSE,USA_OK
OMA_606-3_P_perforatum_USA_TX,perforatum,USA,TX,perforatum_hypotropum,norstictic,sexual,FALSE,USA_TX
OMA_607-A-1_P_hypotropum_USA_TX,hypotropum,USA,TX,perforatum_hypotropum,norstictic,asexual,FALSE,USA_TX
OMA_607-A-2_P_hypotropum_USA_TX,hypotropum,USA,TX,perforatum_hypotropum,norstictic,asexual,FALSE,USA_TX
OMA_607-A-3_P_hypotropum_USA_TX,hypotropum,USA,TX,perforatum_hypotropum,norstictic,asexual,FALSE,USA_TX
OMA_607-A-4_P_hypotropum_USA_TX,hypotropum,USA,TX,perforatum_hypotropum,norstictic,asexual,FALSE,USA_TX
OMA_607-A-5_P_hypotropum_USA_TX,hypotropum,USA,TX,perforatum_hypotropum,norstictic,asexual,FALSE,USA_TX
OMA_607-A-6_P_hypotropum_USA_TX,hypotropum,USA,TX,perforatum_hypotropum,norstictic,asexual,FALSE,USA_TX
OMA_608-1_P_subrigidum_USA_TX,subrigidum,USA,TX,subrigidum_louisianae,alectoronic,sexual,FALSE,USA_TX
